Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12523,2022-02-24,0.0570342174,0.1140342093,0.1149071459,21,100
Market-Adjusted Model,12527,2022-02-24,-0.166904717,-0.0948384,-0.109031788,21,100
Market-Adjusted Model,12528,2022-02-24,-0.003600704,0.0562946734,0.0542722248,21,100
Market-Adjusted Model,12530,2022-02-24,0.144422324,0.1977953777,0.2022952525,21,100
Market-Adjusted Model,12531,2022-02-24,0.3251726353,0.3796614771,0.3830455639,21,100
Market-Adjusted Model,12533,2022-02-24,-0.027459389,0.032633704,0.0304135393,21,100
Market-Adjusted Model,12534,2022-02-24,-0.014694849,0.0467400514,0.0431780797,21,100
Market-Adjusted Model,12535,2022-02-24,-0.041325553,0.0180167034,0.0165473752,21,100
Market-Adjusted Model,12536,2022-02-24,0.0073730472,0.0660592161,0.0652459757,21,100
Market-Adjusted Model,12537,2022-02-24,0.050651232,0.1075376057,0.1085241605,21,100
Market-Adjusted Model,12540,2022-02-24,0.4402985084,0.4363681975,0.4981714369,21,100
Market-Adjusted Model,12542,2022-02-24,-0.021483799,0.0411449341,0.036389129,21,100
Market-Adjusted Model,12543,2022-02-24,-0.094149629,-0.040959155,-0.036276701,21,100
Market-Adjusted Model,12552,2022-02-24,-0.02588475,0.0321480395,0.0319881786,21,100
Market-Adjusted Model,12556,2022-02-24,0.6999999697,0.6587844068,0.7578728982,21,100
Market-Adjusted Model,12558,2022-02-24,0.0728743906,0.1296354783,0.1307473191,21,100
Market-Adjusted Model,12559,2022-02-24,-0.003250989,0.0537227989,0.0546219397,21,100
Market-Adjusted Model,12564,2022-02-24,-0.100540879,-0.047406912,-0.04266795,21,100
Market-Adjusted Model,12565,2022-02-24,-0.077405912,-0.021822832,-0.019532984,21,100
Market-Adjusted Model,12566,2022-02-24,0.0204081452,0.0841278591,0.0782810737,21,100
Market-Adjusted Model,12569,2022-02-24,0.3529411604,0.37261086,0.410814089,21,100
Market-Adjusted Model,12570,2022-02-24,-0.165383203,-0.116059338,-0.107510274,21,100
Market-Adjusted Model,12573,2022-02-24,0.0382303855,0.1242003603,0.0961033141,21,100
Market-Adjusted Model,12577,2022-02-24,0.0521739277,0.1342873631,0.1100468563,21,100
Market-Adjusted Model,12578,2022-02-24,-0.073464721,-0.016705824,-0.015591792,21,100
Market-Adjusted Model,12579,2022-02-24,0.2987805594,0.3888855026,0.3566534879,21,100
Market-Adjusted Model,12582,2022-02-24,0.0771144122,0.1363231293,0.1349873407,21,100
Market-Adjusted Model,12583,2022-02-24,0.1204081948,0.174318645,0.1782811234,21,100
Market-Adjusted Model,12584,2022-02-24,-0.04789199,0.0092214618,0.0099809384,21,100
Market-Adjusted Model,12591,2022-02-24,-0.076174214,-0.009714923,-0.018301286,21,100
Market-Adjusted Model,12592,2022-02-24,0.1254451041,0.2087416741,0.1833180326,21,100
Market-Adjusted Model,12593,2022-02-24,0.083886143,0.1404183469,0.1417590715,21,100
Market-Adjusted Model,12615,2022-02-24,0.1490472177,0.2004967953,0.2069201463,21,100
Market-Adjusted Model,12621,2022-02-24,0.0810952676,0.1378805611,0.1389681961,21,100
Market-Adjusted Model,12622,2022-02-24,0.1153332679,0.1699694932,0.1732061964,21,100
Market-Adjusted Model,12623,2022-02-24,0.1395957381,0.1922299673,0.1974686667,21,100
Market-Adjusted Model,12625,2022-02-24,0.0045153344,0.0622543103,0.0623882629,21,100
Market-Adjusted Model,12628,2022-02-24,-0.180019131,-0.137683908,-0.122146202,21,100
Market-Adjusted Model,12629,2022-02-24,-0.110341133,-0.055237004,-0.052468204,21,100
Market-Adjusted Model,12631,2022-02-24,-0.022413414,0.0341320406,0.0354595142,21,100
Market-Adjusted Model,12633,2022-02-24,0.0189511966,0.0757926112,0.0768241251,21,100
Market-Adjusted Model,12640,2022-02-24,0.2871286805,0.3296805289,0.345001609,21,100
Market-Adjusted Model,12641,2022-02-24,-0.133027492,-0.067987112,-0.075154563,21,100
Market-Adjusted Model,12644,2022-02-24,0.1324399407,0.187518143,0.1903128692,21,100
Market-Adjusted Model,12646,2022-02-24,-0.0311407,0.0304723643,0.0267322289,21,100
Market-Adjusted Model,12647,2022-02-24,-0.134555136,-0.081028515,-0.076682207,21,100
Market-Adjusted Model,12648,2022-02-24,0.0516182634,0.1105909159,0.1094911919,21,100
Market-Adjusted Model,12649,2022-02-24,0.0581102237,0.1160535488,0.1159831522,21,100
Market-Adjusted Model,12651,2022-02-24,-0.088992129,-0.034639996,-0.031119201,21,100
Market-Adjusted Model,12652,2022-02-24,-0.053839932,0.003145199,0.0040329963,21,100
Market-Adjusted Model,12654,2022-02-24,-0.077079438,-0.020747955,-0.01920651,21,100
